               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.031908,            0.050668,           0.0029864,             0.24161,             0.46865,             0.20784,              0.1195,            0.028687,            0.045779,           0.0043531,            0.005677,            0.005677,            0.005677
                 133,            0.031351,            0.051068,           0.0030442,             0.22717,             0.48441,             0.18916,             0.11036,             0.02869,            0.045652,           0.0042858,            0.005644,            0.005644,            0.005644
                 134,            0.029951,            0.049009,           0.0032136,             0.21567,             0.50805,             0.18896,             0.10699,            0.028857,            0.047169,           0.0042625,            0.005611,            0.005611,            0.005611
                 135,             0.03151,            0.051081,           0.0030147,             0.24262,             0.45019,             0.19072,             0.10972,            0.028745,            0.046309,           0.0046232,            0.005578,            0.005578,            0.005578
                 136,             0.03101,            0.048508,             0.00327,             0.25036,              0.4579,             0.19935,             0.11691,            0.027699,            0.044494,           0.0043059,            0.005545,            0.005545,            0.005545
                 137,            0.031266,            0.050499,           0.0031593,             0.23977,             0.40461,             0.18764,             0.10944,            0.027828,            0.046592,           0.0047508,            0.005512,            0.005512,            0.005512
                 138,            0.030758,            0.053236,           0.0032104,             0.23567,             0.45935,             0.20169,             0.11956,            0.027606,            0.045133,           0.0047352,            0.005479,            0.005479,            0.005479
                 139,            0.030191,             0.04761,           0.0029063,             0.22736,             0.46267,             0.20032,             0.11351,            0.028422,             0.04597,           0.0044879,            0.005446,            0.005446,            0.005446
                 140,            0.030299,            0.051151,           0.0032377,             0.23712,             0.47954,             0.19933,             0.11527,            0.027904,            0.043066,           0.0045279,            0.005413,            0.005413,            0.005413
                 141,            0.029698,            0.049936,           0.0029771,             0.22589,             0.46447,              0.1884,             0.10908,            0.028448,            0.046512,           0.0046062,             0.00538,             0.00538,             0.00538
                 142,            0.030111,            0.052484,           0.0030404,             0.22332,             0.49212,             0.19608,             0.11579,            0.027199,            0.046132,           0.0042742,            0.005347,            0.005347,            0.005347
                 143,            0.030325,            0.049042,           0.0028695,             0.23141,              0.5119,             0.20646,             0.11672,            0.027771,            0.045639,           0.0045062,            0.005314,            0.005314,            0.005314
                 144,            0.031427,            0.048952,           0.0027889,             0.22011,             0.45272,             0.19385,             0.11306,            0.027965,            0.046941,           0.0043655,            0.005281,            0.005281,            0.005281
                 145,            0.029557,            0.049616,           0.0031363,             0.24081,             0.46919,             0.20114,             0.11445,             0.02805,            0.046757,           0.0043262,            0.005248,            0.005248,            0.005248
                 146,            0.029756,            0.051588,           0.0029914,             0.24741,             0.44028,             0.19666,             0.11413,            0.027226,            0.048643,           0.0045331,            0.005215,            0.005215,            0.005215
                 147,            0.029782,            0.049456,           0.0027359,             0.24097,             0.43707,             0.19025,             0.10595,            0.028046,            0.049794,           0.0042452,            0.005182,            0.005182,            0.005182
                 148,            0.030541,            0.047698,           0.0028242,              0.2249,             0.45536,             0.18874,             0.11264,            0.027936,            0.048178,           0.0051142,            0.005149,            0.005149,            0.005149
                 149,            0.029462,            0.052296,           0.0029186,             0.24397,             0.48155,             0.20065,             0.11286,            0.028556,            0.046786,            0.004762,            0.005116,            0.005116,            0.005116
                 150,            0.029216,             0.04834,           0.0030465,             0.23769,             0.42194,             0.19565,             0.11627,            0.027749,            0.049229,           0.0043592,            0.005083,            0.005083,            0.005083
                 151,                0.03,            0.049971,           0.0029615,             0.23946,             0.41784,             0.20619,             0.11451,            0.028104,            0.045408,           0.0043424,             0.00505,             0.00505,             0.00505
                 152,            0.029666,             0.05138,           0.0027232,             0.23973,             0.44355,             0.19311,             0.11088,            0.027758,            0.047569,           0.0046043,            0.005017,            0.005017,            0.005017
                 153,            0.029507,            0.049043,           0.0027247,             0.25167,             0.42561,             0.19656,             0.11324,            0.027765,            0.048224,           0.0045644,            0.004984,            0.004984,            0.004984
                 154,            0.029802,            0.047883,           0.0027796,             0.23876,             0.48212,             0.20553,             0.12093,            0.027123,            0.046813,           0.0046097,            0.004951,            0.004951,            0.004951
                 155,            0.030168,            0.050847,           0.0031729,              0.2534,             0.43021,             0.20561,             0.11921,            0.028735,             0.04767,            0.004707,            0.004918,            0.004918,            0.004918
                 156,            0.029829,             0.04702,           0.0029073,             0.23898,             0.41728,             0.19023,              0.1117,            0.028234,            0.048743,           0.0044998,            0.004885,            0.004885,            0.004885
                 157,            0.029426,            0.048925,           0.0026719,             0.23252,             0.45292,             0.19496,             0.11502,            0.027546,            0.046276,           0.0045899,            0.004852,            0.004852,            0.004852
                 158,             0.02909,            0.048457,           0.0028023,              0.2355,             0.44465,             0.19221,             0.11445,            0.028007,            0.049109,           0.0047034,            0.004819,            0.004819,            0.004819
                 159,            0.028668,            0.045787,           0.0027477,             0.24883,             0.45474,              0.2001,             0.11517,             0.02896,            0.048636,           0.0049312,            0.004786,            0.004786,            0.004786
                 160,            0.029431,            0.051272,           0.0028148,             0.23738,             0.44142,             0.19929,             0.11323,              0.0275,            0.052808,           0.0045277,            0.004753,            0.004753,            0.004753
                 161,             0.02897,            0.049388,           0.0027814,             0.22484,             0.42291,             0.18584,             0.10662,            0.027198,            0.049442,           0.0046925,             0.00472,             0.00472,             0.00472
